project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Railway,267.6,257,72.3,66.7,1,22,13.1,6.5,8,27.1,1,158
Industrial Corridor,937.2,597,55.0,26.2,2,17,87.2,55.7,7,38.1,1,78
Highway,323.7,499,84.1,89.3,1,5,61.1,48.5,21,20.8,0,0
Highway,182.2,183,87.8,100.0,2,42,82.3,72.3,8,33.2,1,27
Highway,656.8,203,90.7,74.9,3,11,60.8,59.2,17,23.7,0,0
Industrial Corridor,382.2,650,65.9,66.7,0,18,83.5,65.3,8,41.7,0,0
Railway,1164.5,596,55.0,62.1,1,12,60.5,51.0,5,10.5,0,0
Highway,178.5,243,77.6,57.2,0,47,71.2,49.3,8,40.3,0,0
Railway,674.6,173,100.0,94.0,1,12,68.3,35.2,3,20.2,0,0
Highway,697.8,894,73.1,82.8,1,52,69.8,71.7,8,49.2,1,260
Irrigation,479.8,155,79.2,44.1,2,10,96.7,78.5,5,30.8,0,0
Railway,701.5,589,68.2,82.7,4,32,30.5,12.7,5,35.4,1,29
Railway,272.1,268,63.9,57.1,1,17,61.6,45.7,13,24.2,0,0
Highway,150.6,97,82.5,100.0,1,4,67.0,64.5,6,33.5,0,0
Irrigation,195.4,147,70.3,58.5,3,51,64.0,61.2,2,33.5,1,15
Railway,308.1,115,78.5,79.5,2,9,55.0,54.8,10,24.4,1,55
Highway,496.3,598,80.1,60.6,1,14,52.3,52.4,11,34.4,1,57
Highway,159.5,138,77.6,69.8,1,24,93.6,97.2,23,2.0,0,0
Urban Infrastructure,229.0,97,80.9,54.0,0,6,61.6,54.2,8,18.9,1,37
Urban Infrastructure,170.1,151,58.4,56.4,1,11,100.0,100.0,6,26.2,0,0
Irrigation,555.7,501,57.4,71.9,1,16,73.6,58.1,10,31.5,0,0
Highway,932.5,724,71.3,60.0,0,4,57.2,47.3,3,36.7,0,0
Urban Infrastructure,129.9,14,71.7,67.2,1,22,74.1,62.6,5,23.2,0,0
Industrial Corridor,430.2,253,63.6,81.1,0,6,65.2,60.3,10,21.7,0,0
Industrial Corridor,601.7,719,75.9,82.7,1,32,89.8,79.8,6,35.6,1,80
Railway,254.7,259,86.5,88.8,1,43,39.6,34.3,2,38.7,0,0
Highway,90.0,90,91.0,61.2,0,33,27.0,6.3,6,34.1,1,34
Highway,652.9,563,94.6,76.7,3,37,70.2,67.8,8,24.3,1,95
Urban Infrastructure,84.8,108,51.0,47.9,0,15,79.7,65.1,6,54.0,1,63
Railway,778.5,397,53.4,38.8,0,5,68.7,79.3,2,26.9,0,0
Highway,167.2,74,67.4,88.0,1,41,76.4,56.7,1,28.4,0,0
Highway,73.3,142,73.3,73.2,2,11,73.5,72.9,11,44.0,1,58
Irrigation,206.9,98,68.2,54.6,2,18,33.4,38.1,11,42.8,1,157
Highway,290.7,88,63.2,52.9,1,8,68.6,76.7,5,33.8,0,0
Urban Infrastructure,336.0,214,67.1,66.7,1,7,89.3,98.6,4,16.1,0,0
Industrial Corridor,454.7,361,79.7,72.2,2,24,66.4,64.6,6,27.2,0,0
Industrial Corridor,357.5,457,50.7,38.0,4,20,36.8,5.3,12,31.7,0,0
Railway,884.6,521,100.0,92.1,1,4,56.3,56.9,8,47.5,0,0
Irrigation,280.9,165,72.3,52.2,3,11,74.1,98.2,15,58.4,1,32
Irrigation,370.8,278,88.8,76.3,3,65,98.9,84.4,8,19.4,0,0
Irrigation,349.6,184,62.7,47.5,1,29,23.9,31.6,4,35.4,1,15
Highway,64.8,17,81.2,49.2,2,10,70.2,49.0,5,17.0,0,0
Railway,109.6,35,73.6,54.0,0,14,44.4,41.7,10,24.6,1,15
Highway,309.0,456,85.7,53.3,0,20,73.2,68.3,17,16.5,0,0
Railway,402.4,453,68.8,70.2,1,14,74.8,47.8,8,44.4,0,0
Railway,41.3,30,96.8,100.0,2,49,58.3,40.0,13,28.6,1,47
Highway,910.4,926,48.1,42.1,4,28,75.6,85.3,9,29.2,1,228
Highway,424.8,486,87.2,82.4,1,33,85.8,93.3,9,26.5,0,0
Irrigation,296.6,146,73.9,45.5,3,36,59.7,77.5,18,30.1,1,40
Highway,411.6,153,55.7,63.5,0,28,36.3,0.0,3,30.5,1,15
Urban Infrastructure,197.8,275,100.0,93.1,0,31,91.5,95.4,6,18.5,0,0
Irrigation,338.5,45,100.0,86.3,0,47,79.6,53.1,5,7.4,0,0
Railway,377.1,387,38.8,29.4,0,32,74.3,73.3,7,11.4,0,0
Irrigation,657.9,548,74.8,69.2,0,7,49.2,56.4,2,8.3,0,0
Highway,262.8,345,83.3,70.3,1,59,82.7,73.4,7,28.1,0,0
Urban Infrastructure,87.0,91,79.1,56.0,1,3,100.0,95.9,5,17.0,0,0
Railway,147.3,149,96.2,66.7,0,27,60.6,39.6,5,36.8,0,0
Industrial Corridor,247.4,98,92.9,84.4,2,21,64.9,43.7,14,28.6,1,31
Highway,96.3,113,76.2,79.6,2,13,41.7,41.6,4,5.8,0,0
Railway,134.2,128,100.0,70.5,3,36,48.6,61.2,21,21.5,1,58
Railway,148.5,64,87.0,94.1,1,17,41.5,50.5,8,2.6,0,0
Urban Infrastructure,235.1,197,66.4,33.3,2,28,65.6,90.8,1,13.4,0,0
Irrigation,421.0,144,63.2,36.4,0,6,56.2,51.3,13,20.6,1,133
Railway,226.8,152,91.9,63.0,2,41,70.5,61.7,1,15.6,0,0
Highway,440.5,1053,59.3,41.7,6,38,45.2,53.3,3,46.7,1,189
Railway,296.8,114,65.4,87.0,1,19,59.6,69.6,9,34.2,1,79
Irrigation,138.1,36,68.2,74.7,2,9,43.9,35.1,6,22.4,0,0
Railway,381.4,123,77.7,65.4,2,43,66.8,67.3,11,41.7,1,62
Highway,341.6,228,68.9,70.4,1,3,30.4,24.6,5,15.3,0,0
Industrial Corridor,448.3,490,50.9,47.3,2,20,66.0,62.5,5,22.3,0,0
Urban Infrastructure,511.3,390,90.6,74.0,1,15,57.4,44.7,5,35.4,1,169
Highway,671.3,191,65.5,59.9,2,26,66.6,66.1,9,13.7,1,17
Irrigation,430.6,467,100.0,100.0,0,15,30.0,28.3,11,33.5,1,32
Highway,333.7,59,76.9,56.5,5,37,76.1,95.3,3,29.2,0,0
Irrigation,449.7,139,92.3,77.1,3,7,57.0,48.8,14,32.5,0,0
Highway,210.0,108,82.1,77.6,0,43,67.3,57.0,21,45.8,1,16
Irrigation,198.1,270,93.0,75.0,1,17,25.6,19.3,7,31.0,1,16
Industrial Corridor,730.8,571,81.1,71.8,3,12,38.1,0.4,8,27.4,0,0
Industrial Corridor,193.6,155,75.8,49.2,3,26,55.2,43.8,5,9.5,0,0
Highway,151.7,44,89.5,79.4,4,35,90.5,83.8,13,28.3,0,0
Urban Infrastructure,430.5,235,100.0,73.5,0,16,73.5,57.0,1,20.7,1,56
Highway,211.4,265,67.7,85.9,0,17,65.6,24.9,17,24.6,1,51
Highway,507.9,466,84.7,70.3,0,10,44.5,31.7,15,20.8,0,0
Irrigation,639.6,709,71.9,69.5,1,3,40.9,65.3,3,31.4,0,0
Railway,169.5,124,80.1,84.1,0,12,68.5,53.0,4,15.1,0,0
Industrial Corridor,465.8,586,72.7,48.5,1,20,77.0,81.2,6,28.3,0,0
Industrial Corridor,190.0,55,37.5,17.1,0,14,67.2,87.0,12,14.5,0,0
Highway,251.4,165,68.8,88.9,0,14,97.2,62.7,2,6.2,0,0
Urban Infrastructure,369.5,369,88.0,70.0,0,6,49.4,18.2,5,22.2,1,39
Highway,198.5,44,59.8,43.5,3,8,66.6,71.2,10,31.1,1,19
Railway,346.8,29,86.7,88.8,2,6,29.1,33.6,3,17.5,0,0
Highway,266.9,519,74.9,78.6,2,20,67.2,55.8,7,27.5,0,0
Urban Infrastructure,515.5,406,68.9,83.2,1,27,92.4,96.7,7,22.0,1,31
Highway,516.4,106,86.5,83.2,3,21,42.2,35.2,3,14.6,0,0
Highway,199.2,155,82.9,77.4,0,28,79.8,81.5,7,32.1,0,0
Railway,375.3,117,78.7,59.5,1,7,91.8,88.8,8,18.8,0,0
Urban Infrastructure,568.2,226,88.3,76.5,1,19,49.2,61.3,4,30.1,0,0
Urban Infrastructure,132.3,184,75.2,82.0,1,13,72.3,50.9,2,9.9,0,0
Industrial Corridor,265.7,138,45.7,34.4,1,16,94.6,67.5,2,27.5,1,67
Urban Infrastructure,364.1,188,66.0,61.6,0,4,67.6,60.1,9,32.9,0,0
Urban Infrastructure,127.5,39,43.1,48.2,0,6,78.7,70.2,9,29.9,1,99
Railway,217.8,129,82.5,96.8,1,20,27.5,9.1,5,35.8,1,21
Highway,826.7,678,86.3,69.6,1,10,74.9,65.9,6,33.1,0,0
Industrial Corridor,193.2,100,87.1,72.9,2,10,73.3,38.4,5,29.3,0,0
Irrigation,210.0,469,79.8,64.0,2,15,36.5,47.2,14,35.3,1,144
Railway,427.3,154,87.5,89.7,2,27,43.7,21.8,5,21.9,1,42
Highway,114.6,41,46.8,36.4,1,35,75.1,67.8,19,31.7,0,0
Industrial Corridor,269.9,156,70.3,81.6,0,3,56.9,64.7,4,26.2,0,0
Highway,152.9,318,49.4,55.2,0,12,85.2,42.5,13,46.4,1,54
Urban Infrastructure,346.4,387,66.3,57.8,5,22,69.2,24.4,3,29.0,0,0
Highway,13.0,7,97.9,86.2,0,26,64.1,58.2,9,11.9,0,0
Highway,313.9,160,89.5,100.0,1,33,59.6,43.9,2,28.8,0,0
Industrial Corridor,371.1,130,82.6,89.4,0,24,68.9,67.0,5,15.5,0,0
Highway,222.1,126,69.1,66.2,0,10,79.1,74.8,13,34.0,0,0
Highway,232.6,150,56.1,34.7,1,21,73.7,81.7,3,34.2,1,18
Irrigation,201.8,220,75.0,78.4,4,19,54.5,64.7,16,19.3,1,16
Urban Infrastructure,267.3,256,89.8,79.8,1,6,87.8,51.1,11,14.6,0,0
Highway,737.0,410,78.6,67.2,2,9,76.2,67.8,11,27.5,0,0
Highway,526.0,869,46.6,42.1,3,23,70.7,60.9,11,16.1,1,58
Industrial Corridor,267.1,124,73.7,61.9,2,33,64.8,68.0,17,16.8,0,0
Urban Infrastructure,217.8,55,41.4,52.2,0,11,73.0,61.2,9,20.4,1,169
Railway,494.1,417,84.9,86.1,2,65,26.4,40.0,4,32.9,1,78
Highway,331.0,441,60.9,32.8,1,1,67.8,70.4,10,9.7,1,15
Highway,124.8,89,52.4,23.3,0,18,95.8,100.0,7,17.7,0,0
Highway,245.1,73,85.1,65.3,1,20,67.4,39.0,15,52.4,1,39
Highway,687.6,552,81.0,57.6,3,37,64.7,80.5,7,47.5,1,72
Irrigation,416.0,360,75.7,93.3,1,10,51.1,59.8,12,39.3,1,25
Highway,219.6,202,100.0,100.0,1,12,72.9,94.6,3,26.5,0,0
Railway,81.5,66,82.2,78.6,4,12,59.1,63.5,6,34.3,0,0
Irrigation,345.2,495,61.7,19.9,2,36,89.2,87.1,7,21.8,0,0
Irrigation,298.0,103,80.3,76.7,0,41,45.7,22.0,15,2.0,0,0
Highway,261.2,14,67.4,49.0,0,14,54.0,48.3,11,19.7,0,0
Industrial Corridor,497.7,88,92.3,79.0,2,8,51.0,48.2,3,20.8,0,0
Industrial Corridor,419.5,123,76.5,63.5,1,8,99.7,86.2,7,26.3,0,0
Industrial Corridor,84.1,101,78.1,70.4,2,5,59.2,56.8,5,31.3,0,0
Highway,299.2,178,48.9,57.7,0,44,52.0,6.9,11,44.2,1,156
Highway,104.4,180,73.0,100.0,1,18,21.2,21.1,12,26.3,0,0
Urban Infrastructure,204.4,67,71.1,45.2,2,35,44.8,29.6,14,15.0,0,0
Railway,97.6,167,55.6,56.2,2,15,73.6,52.2,12,23.8,0,0
Highway,100.7,40,68.5,86.6,1,72,73.5,73.8,4,33.1,0,0
Railway,374.5,241,79.0,64.9,0,31,50.0,38.5,7,24.8,1,51
Irrigation,349.7,72,71.9,58.0,2,23,51.1,49.6,13,17.2,1,35
Urban Infrastructure,283.6,448,49.4,30.6,2,27,100.0,86.9,15,31.8,1,19
Highway,191.1,134,67.6,44.0,4,8,100.0,89.5,3,13.4,0,0
Urban Infrastructure,91.2,209,64.5,69.4,1,12,86.0,79.1,10,16.3,0,0
Highway,205.1,280,75.1,79.3,2,34,94.2,100.0,7,30.6,0,0
Irrigation,350.7,222,73.4,69.9,0,19,98.4,61.4,8,17.4,0,0
Irrigation,345.2,154,65.4,45.9,1,28,100.0,82.2,11,22.1,1,20
Highway,678.5,835,64.8,86.2,2,14,57.0,71.8,7,26.2,0,0
Highway,617.3,461,73.1,63.3,0,17,45.4,42.7,8,25.5,0,0
Railway,291.7,125,87.4,66.4,0,42,99.7,100.0,3,15.4,0,0
Urban Infrastructure,203.5,159,76.5,56.0,2,21,43.7,23.3,7,29.6,1,22
Irrigation,156.0,24,94.8,76.9,1,22,42.4,33.7,6,15.9,0,0
Urban Infrastructure,78.7,73,90.1,67.2,1,17,42.9,33.8,6,44.2,1,15
Industrial Corridor,114.5,119,95.9,100.0,3,13,60.4,64.0,6,21.6,0,0
Railway,351.1,112,93.9,63.3,1,15,23.3,19.0,18,32.7,0,0
Industrial Corridor,438.9,639,97.0,84.4,6,19,34.3,13.5,11,34.1,1,125
Highway,235.3,301,53.5,26.8,1,43,50.6,25.8,3,22.1,1,15
Highway,1140.1,1003,82.4,90.8,4,19,39.1,17.4,2,15.4,0,0
Industrial Corridor,115.5,44,91.5,100.0,1,38,84.2,98.5,6,34.0,0,0
Industrial Corridor,71.6,77,94.4,61.4,0,8,63.1,56.9,13,10.4,0,0
Highway,1127.7,647,59.7,64.7,2,26,74.5,61.7,4,12.0,0,0
Irrigation,87.2,72,82.5,78.9,1,3,72.4,74.4,12,32.7,0,0
Irrigation,232.9,264,73.2,57.8,3,10,58.9,74.8,4,23.8,0,0
Urban Infrastructure,166.6,43,100.0,81.2,1,10,82.8,93.1,5,18.2,0,0
Irrigation,369.0,73,49.8,26.7,0,12,72.0,40.5,6,20.5,1,83
Railway,220.1,118,59.7,48.6,2,37,56.6,65.5,7,17.2,1,28
Railway,439.8,910,43.0,49.8,2,3,29.3,19.6,2,50.0,1,89
Railway,504.4,1182,74.3,56.4,5,41,73.4,66.7,3,37.2,1,26
Irrigation,78.0,72,100.0,81.9,1,3,37.8,31.1,5,16.9,0,0
Urban Infrastructure,151.9,198,71.3,88.7,3,14,70.6,66.4,2,22.6,0,0
Railway,465.1,334,73.6,45.7,0,14,64.6,43.8,5,32.6,0,0
Highway,571.1,446,80.8,100.0,3,50,35.8,26.3,8,15.3,0,0
Highway,325.0,209,70.1,47.6,1,30,68.2,68.6,3,19.9,1,31
Industrial Corridor,387.7,540,77.9,78.8,5,62,66.8,57.0,5,22.7,0,0
Industrial Corridor,706.2,1228,78.3,60.4,5,68,66.9,77.1,8,16.3,1,65
Highway,222.1,171,58.5,43.4,1,37,65.9,49.8,3,38.1,0,0
Highway,322.5,251,70.5,63.0,1,9,50.0,51.2,8,18.1,0,0
Irrigation,617.7,411,83.9,69.6,0,25,74.8,75.2,7,24.7,0,0
Highway,642.7,1134,86.9,80.1,5,20,49.2,32.5,4,27.3,1,36
Industrial Corridor,268.8,325,92.8,74.8,1,11,41.5,38.6,14,43.4,0,0
Highway,155.9,58,77.4,38.8,1,36,76.5,72.8,3,25.1,0,0
Highway,266.7,542,77.7,88.5,6,5,81.7,55.2,9,49.5,1,30
Urban Infrastructure,285.4,30,84.0,100.0,0,8,75.1,80.7,9,22.0,0,0
Highway,151.4,252,62.5,60.3,4,3,58.9,42.4,3,23.6,1,113
Highway,169.9,226,61.8,60.6,3,7,24.2,1.0,4,36.3,1,107
Highway,643.2,496,70.0,67.3,0,9,92.6,66.1,10,47.1,1,77
Highway,399.9,304,51.6,56.6,1,16,23.9,0.0,12,23.1,1,78
Highway,233.7,160,78.5,58.3,1,38,74.7,75.3,8,39.6,1,92
Highway,121.6,47,88.8,100.0,2,12,100.0,100.0,10,35.3,0,0
Highway,171.5,333,60.6,46.3,2,38,66.0,44.7,5,17.6,0,0
Highway,66.2,49,79.0,62.1,0,67,68.8,45.7,13,25.8,1,31
Irrigation,330.9,126,61.9,49.5,1,42,70.6,73.5,2,25.6,1,39
Irrigation,164.2,308,55.7,40.9,3,8,67.0,50.7,8,14.7,1,22
Railway,349.1,342,100.0,78.7,2,10,100.0,50.1,13,27.8,0,0
Highway,461.9,469,56.0,47.3,1,39,46.1,35.5,12,26.9,1,27
Railway,352.6,747,51.5,48.4,2,10,43.6,20.7,1,30.1,1,85
Urban Infrastructure,212.9,234,75.4,60.6,0,20,56.4,23.7,11,26.8,1,41
Urban Infrastructure,145.2,72,76.3,59.9,0,26,97.8,51.2,5,18.7,0,0
Highway,107.0,117,82.7,62.2,0,31,51.5,38.8,5,52.9,1,86
Highway,603.8,249,100.0,100.0,1,22,71.6,43.8,8,28.4,0,0
Highway,342.2,191,59.6,54.2,1,6,84.4,87.2,3,40.3,0,0
Highway,222.0,200,62.7,69.6,1,13,78.6,69.2,9,30.8,0,0
Irrigation,422.4,545,97.7,81.8,3,42,83.4,81.1,12,42.6,0,0
Railway,542.7,278,87.0,68.8,3,18,91.4,100.0,15,17.5,0,0
Highway,166.9,112,84.8,80.6,2,58,69.2,84.2,20,25.0,1,15
Railway,335.2,224,62.6,64.8,1,23,53.9,38.4,8,21.1,0,0
Irrigation,339.8,483,90.0,73.6,5,9,65.9,50.2,4,19.7,0,0
Highway,687.1,521,84.9,78.8,2,28,56.2,62.8,4,28.9,0,0
Industrial Corridor,219.8,444,75.0,47.0,0,44,100.0,67.6,22,23.3,1,82
Highway,141.0,78,62.6,29.8,1,20,52.3,59.9,6,10.3,0,0
Urban Infrastructure,360.8,190,73.7,51.7,2,21,72.7,59.8,1,22.7,1,84
Highway,445.7,734,98.4,87.1,4,25,33.0,30.2,4,21.8,1,15
Industrial Corridor,316.5,331,54.5,20.9,4,27,65.7,55.1,5,35.7,1,115
Urban Infrastructure,717.0,1932,59.2,47.8,4,11,57.3,34.8,11,10.1,1,76
Urban Infrastructure,219.2,353,62.0,60.7,4,3,76.5,56.1,16,20.4,1,24
Industrial Corridor,322.0,100,65.4,66.9,0,29,77.0,57.4,12,17.7,0,0
Industrial Corridor,83.8,63,71.7,73.5,0,18,91.3,73.6,10,34.2,0,0
Irrigation,134.7,121,87.3,79.4,4,25,89.8,99.9,16,20.0,0,0
Industrial Corridor,167.7,144,79.4,64.9,1,16,61.7,35.7,12,37.5,1,24
Highway,246.8,168,73.0,84.8,1,25,44.1,51.0,14,25.5,0,0
Irrigation,96.6,82,76.4,74.7,0,8,46.5,39.1,5,31.4,1,87
Railway,418.4,367,82.0,71.0,2,14,69.1,65.4,3,38.2,0,0
Urban Infrastructure,156.2,81,45.1,28.1,1,8,66.2,51.9,4,12.8,0,0
Railway,1015.6,1409,89.1,81.5,4,14,68.2,66.5,6,23.3,0,0
Railway,160.6,303,58.8,47.4,1,5,52.3,45.7,20,30.6,1,81
Irrigation,299.3,345,64.9,74.2,1,32,91.7,58.4,5,28.2,0,0
Highway,273.6,263,77.4,82.2,1,49,33.5,43.9,4,11.7,0,0
Highway,125.4,90,70.8,63.7,1,6,51.2,42.2,26,33.7,1,38
Railway,247.5,221,79.8,64.7,0,19,41.5,49.2,9,26.5,0,0
Railway,245.3,233,74.3,63.1,1,16,58.8,39.7,5,27.4,1,15
Highway,504.7,196,67.4,71.3,1,50,87.9,89.8,3,23.6,0,0
Railway,370.0,499,96.5,91.8,7,20,57.2,47.6,2,2.0,0,0
Railway,414.4,241,83.3,54.1,0,41,65.0,75.9,13,32.0,1,23
Railway,497.6,845,76.8,61.2,8,30,76.3,47.9,1,32.5,1,166
Railway,418.8,16,83.1,77.4,0,23,56.3,46.2,7,21.4,0,0
Irrigation,333.3,278,60.7,67.1,1,12,70.7,59.6,16,9.7,0,0
Highway,166.5,227,100.0,100.0,2,23,68.0,46.6,5,20.1,0,0
Urban Infrastructure,318.9,364,54.6,46.5,3,8,40.4,50.2,9,36.9,1,21
Urban Infrastructure,142.8,45,73.8,61.9,1,13,53.7,53.9,4,21.5,0,0
Railway,261.2,421,67.4,51.5,3,3,70.1,58.5,20,26.2,0,0
Railway,237.4,109,66.8,53.4,1,45,88.6,100.0,9,22.3,0,0
Irrigation,248.4,138,64.7,61.9,0,21,88.6,100.0,16,29.5,0,0
Industrial Corridor,97.4,57,59.7,58.9,4,45,100.0,100.0,7,11.5,0,0
Irrigation,13.4,5,91.0,54.3,1,20,72.7,80.8,8,23.8,0,0
Industrial Corridor,206.5,177,52.7,52.5,2,21,54.7,50.9,10,38.1,1,39
Irrigation,573.9,810,87.7,97.8,4,29,61.7,44.9,6,15.9,0,0
Irrigation,296.3,496,82.4,97.3,0,18,60.7,40.5,12,23.0,0,0
